seleccion,orden,jugador,archivo_imagen,archivo_sin_ajustar
Brasil,5,Gabriel Magalhães,bra_06_gabriel-magalhaes.png,bra_17_rodrygo.png
Brasil,6,Bremer,,bra_18_joao-pedro.png
Brasil,7,Ibáñez,bra-01-ibanez.png,
Brasil,8,Léo Pereira,,bra-06-yuri alberto.png
Brasil,9,Wesley,bra_04_wesley.png,bra.png
Brasil,10,Danilo,bra_07_danilo.png,bra0_2.png
Brasil,11,Alex Sandro,,bra0.png
Brasil,12,Douglas Santos,,
Brasil,13,Casemiro,bra_10_casemiro.png,
Brasil,14,Bruno Guimarães,bra_08_bruno-guimaraes.png,
Brasil,15,Fabinho,,
Brasil,16,Danilo,bra_07_danilo.png,
Brasil,17,Lucas Paquetá,bra_09-lucas paqueta.png,
Brasil,18,Vinicius Jr.,bra_12_vinicius-junior.png,
Brasil,19,Raphinha,bra_14_raphinha.png,
Brasil,20,Matheus Cunha,bra_16_matheus-cunha.png,
Brasil,21,Luiz Henrique,,
Brasil,22,Igor Thiago,,
Brasil,23,Endrick,,
Brasil,24,Martinelli,bra_13_gabriel-martinelli.png,
Brasil,25,Rayan,bra-03-rayan.png,
Brasil,26,Neymar,,
Canada,1,Maxime Crépau,,can_02_if-e-y-en.png
Canada,2,Owen Goodman,,can_06_matheu choniere.png
Canada,3,Dayne St. Clair,can_01_dayne-st-clair.png,can_07_samuel adekugbe.png
Canada,4,Moïse Bombito,can_10_moise bombito.png,can_09_kamal miller.png
Canada,5,Derek Cornelius,can_11_derek cornelus.png,
Canada,6,Alphonso Davies,,can_18_richie-larvea.png
Canada,7,Luc de Fougerolles,,can.png
Canada,8,Alistair Johnston,can_03_alistair johnston.png,can0.png
Canada,9,Alfie Jones,,
Canada,10,Richie Laryea,,
Canada,11,Niko Sigur,can_12_niko sigur.png,
Canada,12,Joel Waterman,,
Canada,13,Ali Ahmed,,
Canada,14,Tajon Buchanan,can_13_tajon-buchanan.png,
Canada,15,Mathieu Chounière,,
Canada,16,Stephen Eustáquio,can_08_stephen eustaquio.png,
Canada,17,Marcelo Flores,,
Canada,18,Ismäel Koné,can_16_ismael kone.png,
Canada,19,Liam Millar,can_17_liam millar.png,
Canada,20,Jonathan Osorio,can_05_jonathan osorio.png,
Canada,21,Nathan Saliba,,
Canada,22,Jacob Shaffelburg,can_04_jacob shaffelburg.png,
Canada,23,Jonathan David,can_14_jonathan-david.png,
Canada,24,Promise David,,
Canada,25,Cyle Larin,can_15_cyle-larin.png,
Canada,26,Tani Oluwaseyi,,
Costa de Marfil,1,Yahia Fofana,civ_03-yahia fofana.png,civ_04-evan ndicka.png
Costa de Marfil,2,Mohamed Kone,,civ_05_sebastien-haller.png
Costa de Marfil,3,Alban Lafont,,civ_09_van-diomande-q.png
Costa de Marfil,4,Emmanuel Agbadou,civ_01_emmanuel-agbadou.png,civ_10_willy boly.png
Costa de Marfil,5,Clément Akpa,,civ_14-ghislain kanan.png
Costa de Marfil,6,Ousmane Diomande,civ_13_ousmane-diomande.png,civ_15_jean-philippe-gbamin.png
Costa de Marfil,7,Guéla Doué,,civ-00-equipo.png
Costa de Marfil,8,Ghislain Konan,,civ-00-escudo.png
Costa de Marfil,9,Odilon Kossounou,civ_12_odilon kossounou.png,
Costa de Marfil,10,Evan N’Dicka,,
Costa de Marfil,11,Wilfried Singo,civ_11_wilfried-singo.png,
Costa de Marfil,12,Seko Fofana,civ_07_seko-fofana.png,
Costa de Marfil,13,Parfait Guiagon,,
Costa de Marfil,14,Christ Inao Oulai,,
Costa de Marfil,15,Franck Kessié,civ_18_franck-kessie.png,
Costa de Marfil,16,Ibrahim Sangaré,civ_17_ibrahim-sangare.png,
Costa de Marfil,17,Jean Michaël Seri,,
Costa de Marfil,18,Simón Adingra,civ_06_simon-adingra.png,
Costa de Marfil,19,Ange-Yoan Bonny,,
Costa de Marfil,20,Amad Diallo,civ_02_amad-diallo.png,
Costa de Marfil,21,Oumar Diakite,civ_08_oumar-diakite-ei.png,
Costa de Marfil,22,Yan Diomande,,
Costa de Marfil,23,Evann Guessand,civ_16_evann-guessand.png,
Costa de Marfil,24,Nicolas Pepe,,
Costa de Marfil,25,Bazoumana Toure,,
Costa de Marfil,26,Elye Wahi,,
Republica Democratica del Congo,1,Timothy Fayulu,,
Republica Democratica del Congo,2,Lionel Mpasi,,
Republica Democratica del Congo,3,Mattieu Epolo,,
Republica Democratica del Congo,4,Aaron Wan-Bissaka,,
Republica Democratica del Congo,5,Gedeon Kalulu,,
Republica Democratica del Congo,6,Chancel Mbemba,,
Republica Democratica del Congo,7,Steve Kapuadi,,
Republica Democratica del Congo,8,Axel Tuanzebe,,
Republica Democratica del Congo,9,Dylan Batubinsika,,
Republica Democratica del Congo,10,Rocky Bushiri,,
Republica Democratica del Congo,11,Arthur Masuku,,
Republica Democratica del Congo,12,Joris Kayembe,,
Republica Democratica del Congo,13,Samuel Moutoussamy,,
Republica Democratica del Congo,14,Ngal’Ayel Mukau,,
Republica Democratica del Congo,15,Gael Kakuta,,
Republica Democratica del Congo,16,Charles Pickel,,
Republica Democratica del Congo,17,Noah Sadiki,,
Republica Democratica del Congo,18,Edo Kayembe,,
Republica Democratica del Congo,19,Théo Bongonda,,
Republica Democratica del Congo,20,Nathanael Mbuku,,
Republica Democratica del Congo,21,Cédric Bakambu,,
Republica Democratica del Congo,22,Simon Banza,,
Republica Democratica del Congo,23,Fiston Mayele,,
Republica Democratica del Congo,24,Brian Cipenga,,
Republica Democratica del Congo,25,Yoane Wissa,,
Republica Democratica del Congo,26,Meschack Elia,,
Colombia,1,Álvaro Montero,col-01-alvaro montero.png,col-00-equipo.png
Colombia,2,Camilo Vargas,col_02_camilo-vargas.png,col-00-escudo.png
Colombia,3,David Ospina,col_01_david-ospina.png,col-03-yerry mina.png
Colombia,4,Daniel Muñoz,col_14_daniel-munoz.png,col-05-jhon arias.png
Colombia,5,Santiago Arias,col_13_santiago-arias.png,col0_2.png
Colombia,6,Dávinson Sánchez,col_17_davinson-sanchez.png,col_escudo2.png
Colombia,7,Jhon Lucumí,col_18_jhon-lucumi.png,
Colombia,8,Yerry Mina,col_15_yerry-mina.png,
Colombia,9,Willer Ditta,col-09-willer ditta.png,
Colombia,10,Déiver Machado,col-10-deiver machado.png,
Colombia,11,Johan Mojica,col_16_johan-mojica.png,
Colombia,12,Gustavo Puerta,col-12-gustavo puerta.png,
Colombia,13,James Rodríguez,col_10_james-rodriguez.png,
Colombia,14,Jefferson Lerma,col_12_jefferson-lerma.png,
Colombia,15,Jhon Arias,col_05_jhon-arias.png,
Colombia,16,Jorge Carrascal,col_07_jorge-carrascal.png,
Colombia,17,Juan Fernando Quintero,col_09_juan-fernando-quintero.png,
Colombia,18,Richard Ríos,col_08_richard-rios.png,
Colombia,19,Kevin Castaño,col_11_kevin-castano.png,
Colombia,20,Jaminton Campaz,col-20-jaminton campaz.png,
Colombia,21,Juan Portilla,col-21-juan portilla.png,
Colombia,22,Luis Diaz,col_03-luis diaz.png,
Colombia,23,Luis Suárez,col_06_luis-suarez.png,
Colombia,24,Jhon Córdoba,col_04_jhon-cordoba.png,
Colombia,25,Carlos Gómez,col-26-carlos gomez.png,
Colombia,26,Juan Camilo Hernández,col-26-juan camilo hernandez.png,
Cabo Verde,1,Josimar Dias,,
Cabo Verde,2,Márcio da Rosa,,
Cabo Verde,3,Carlos Santos,,
Cabo Verde,4,Steven Moreira,,
Cabo Verde,5,Wagner Pina,,
Cabo Verde,6,João Paulo Fernandes,,
Cabo Verde,7,Sidny Lopes Cabral,,
Cabo Verde,8,Logan Costa,,
Cabo Verde,9,Roberto Lopes,,
Cabo Verde,10,Kelvin Pires,,
Cabo Verde,11,Ianique Tavares,,
Cabo Verde,12,Edilson Borges,,
Cabo Verde,13,Jamiro Monteiro,,
Cabo Verde,14,Telmo Arcanjo,,
Cabo Verde,15,Yannick Semedo,,
Cabo Verde,16,Laros Duarte,,
Cabo Verde,17,Deroy Duarte,,
Cabo Verde,18,Kevin Pina,,
Cabo Verde,19,Ryan Mendes,,
Cabo Verde,20,Willy Semedo,,
Cabo Verde,21,Garry Rodrigues,,
Cabo Verde,22,Jovane Cabral,,
Cabo Verde,23,Nuno da Costa,,
Cabo Verde,24,Dailon Livramento,,
Cabo Verde,25,Gilson Benchimol,,
Cabo Verde,26,Hélio Varela,,
Croacia,1,Dominic Livakovic,cro_01_dominik-livakovi.png,
Croacia,2,Dominik Kotarski,,cro_02_franjo ivanovic.png
Croacia,3,Ivor Pandur,,cro_04_ante burdimir.png
Croacia,4,Josko Gvardiol,cro_18_josko-gvardiol.png,cro_10_petar-sugig.png
Croacia,5,Duje Caleta-Car,,cro_11_ivan-perisig.png
Croacia,6,Josip Sutalo,cro_16_josip-sutalo.png,cro_12_kristijan-jakig.png
Croacia,7,Josip Stanisic,cro_14_josip-stanisic.png,cro_13_duje-galeta-car.png
Croacia,8,Marin Pongracic,,cro_17_lovro-majer.png
Croacia,9,Martin Erlic,,cro.png
Croacia,10,Luka Vuskovic,cro_15_luka-vuskovic.png,cro0_2.png
Croacia,11,Luka Modric,cro_06_luka-modricg.png,cro0.png
