seleccion,orden,jugador
Jordania,9,Hussam Abu Dahab
Jordania,10,Ihsan Haddad
Jordania,11,Anas Badawi
Jordania,12,Mohammad Abu Hashish
Jordania,13,Nour Al-Rawabdeh
Jordania,14,Nizar Al-Rashdan
Jordania,15,Ibrahim Saadeh
Jordania,16,Rajai Ayed
Jordania,17,Amer Jamous
Jordania,18,Muhannad Abu Taha
Jordania,19,Mohammad Al-Dawood
Jordania,20,Mahmoud Mardi
Jordania,21,Awda Al-Fakhoury
Jordania,22,Mousa Al-Taamari
Jordania,23,Mohammad Abu Zureiq
Jordania,24,Ali Azayza
Jordania,25,Ibrahim Sabra
Jordania,26,Ali Alwan
Japon,2,Keisuke Osako
Japon,3,Tomoki Hayakawa
Japon,4,Yuto Nagamoto
Japon,6,Ko Itakura
Japon,7,Takehiro Tomisayu
Japon,9,Yukinari Sugawara
Japon,10,Hiroki Ito
Japon,12,Tsuyoshi Watanabe
Japon,14,Wataru Endo
Japon,18,Kaito Nakamura
Japon,19,Daizen Maeda
Japon,22,Yuito Suzuki
Japon,23,Kento Shiogai
Japon,24,Keisuke Goto
Corea del Sur,1,Kim Seung-Gyu
Corea del Sur,2,Song Bum Keun
Corea del Sur,3,Jo Hyeon-Woo
Corea del Sur,4,Kim Moon-Hwan
Corea del Sur,5,Kim Min-Jae
Corea del Sur,6,Kim Tae-Hwan
Corea del Sur,7,Park Jin-Seob
Corea del Sur,8,Seol Young-Woo
Corea del Sur,10,Lee Ki-Hyuk
Corea del Sur,11,Lee Tae-Seok
Corea del Sur,12,Lee Han-Beom
Corea del Sur,13,Cho Yumin
Corea del Sur,14,Kim Jin-Gyu
Corea del Sur,15,Bae Jun-Ho
Corea del Sur,16,Paik Seung-Ho
Corea del Sur,17,Yang Hyun-Jun
Corea del Sur,18,Eom Ji-Sung
Corea del Sur,19,Lee Kang-In
Corea del Sur,20,Lee Dong-Gyeong
Corea del Sur,21,Lee Jjae-Sung )Mainz 05)
Corea del Sur,22,Hwang In-Beom
Corea del Sur,23,Hwang Hee-Chan
Corea del Sur,24,Song Heung-Min
Corea del Sur,25,Oh Hyeon-Gyu
Corea del Sur,26,Cho Gue-Sung
Arabia Saudita,1,Ahmed Alkassar
Arabia Saudita,2,Mohammed Alowais
Arabia Saudita,3,Nawaf Alaqidi
Arabia Saudita,4,Abdulelah Alamri
Arabia Saudita,5,Ali Lajami
Arabia Saudita,6,Ali Majrashi
Arabia Saudita,7,Hassan Kadish
Arabia Saudita,8,Hassan Altambakti
Arabia Saudita,9,Jehad Thikri
Arabia Saudita,10,Mohammed Abualshamat
Arabia Saudita,11,Moteb Alharbi
Arabia Saudita,12,Nawaf Buwashl
Arabia Saudita,13,Saud Abdulhamid
Arabia Saudita,14,Abdullah Alkhaibari
Arabia Saudita,15,Aiman Yahya
Arabia Saudita,16,Khalid Alghannam
Arabia Saudita,17,Mohamed Kanno
Arabia Saudita,18,Musab Aljuwayr
Arabia Saudita,19,Nasser Aldawsari
Arabia Saudita,20,Salem Aldawsari
Arabia Saudita,21,Sultan Mandash
Arabia Saudita,22,Ziyad Aljohani
Arabia Saudita,23,Alaa Al-Hejji
Arabia Saudita,24,Abdullah Alhamddan
Arabia Saudita,25,Feras Albrikan
Arabia Saudita,26,Saleh Alshehri
Marruecos,3,Ajmed Reda Tagnaouti
Marruecos,5,Nayef Aguerd
Marruecos,7,Anass Salah-Eddine
Marruecos,8,Chadi Riad
Marruecos,9,Youssef Belammari
Marruecos,10,Issa Diop
Marruecos,11,Redouane Hahlal
Marruecos,12,Zakaria El Ouahdi
Marruecos,14,Ismael Saibari
Marruecos,15,Neil El Aynaoui
Marruecos,17,Azzedine Ounahi
Marruecos,18,Bouaddi
Marruecos,19,Samir El Mourabet
Marruecos,21,Chemsdine Talbi
Marruecos,25,Ayoube Amaimouni
Marruecos,26,Yassine Gessime
Mexico,1,Raúl Rangel
Mexico,2,Carlos Acevedo
Mexico,3,Guillermo Ochoa
